TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TransactionDayOfWeek,TimeSinceLastTransaction,HighLoginAttempts,LongDuration,IsCredit,Cluster,RuleBasedFraud,FraudRiskLevel
TX000757,AC00154,333.78,2023-11-30 17:53:48,Debit,San Diego,D000444,49.31.186.82,M057,ATM,60,Retired,98,1,6810.94,2024-11-04 08:07:50,17,3,-29340842.0,0,0,0,3,0,Low
TX001547,AC00123,100.38,2023-11-27 17:51:15,Debit,Seattle,D000548,71.93.189.160,M060,Branch,63,Doctor,49,1,10171.68,2024-11-04 08:09:18,17,0,-29600283.0,0,0,0,3,0,Low
TX002320,AC00042,135.94,2023-01-18 16:48:32,Debit,Houston,D000489,58.1.27.124,M020,Branch,71,Retired,258,1,4710.21,2024-11-04 08:10:02,16,2,-56647290.0,0,0,0,3,0,Low
TX001229,AC00093,211.91,2023-09-18 16:51:04,Debit,Indianapolis,D000487,166.79.195.157,M075,Online,20,Student,181,1,927.47,2024-11-04 08:08:46,16,0,-35651862.0,0,0,0,1,1,High
TX001096,AC00196,21.57,2023-10-26 16:11:13,Debit,San Francisco,D000655,136.105.231.135,M071,ATM,54,Retired,71,1,7587.48,2024-11-04 08:09:29,16,3,-32371096.0,0,0,0,3,0,Low
TX000896,AC00357,54.47,2023-11-13 17:47:07,Credit,Philadelphia,D000434,190.92.63.219,M100,Branch,23,Student,34,1,1131.42,2024-11-04 08:11:15,17,0,-30810248.0,0,0,1,2,1,High
TX001442,AC00441,491.1,2023-06-05 16:08:37,Credit,Houston,D000408,175.210.47.87,M067,Online,35,Engineer,125,1,7833.85,2024-11-04 08:07:32,16,0,-44726335.0,0,0,1,2,0,Moderate
TX000470,AC00036,71.95,2023-02-13 16:39:52,Credit,Omaha,D000410,162.58.247.55,M100,Online,59,Engineer,53,1,9267.32,2024-11-04 08:06:23,16,0,-54401191.0,0,0,1,2,0,Moderate
TX001056,AC00317,13.48,2023-09-20 17:49:53,Debit,Las Vegas,D000279,32.169.88.41,M094,Online,18,Student,20,3,521.88,2024-11-04 08:10:20,17,2,-35475627.0,1,0,0,0,1,High
TX000941,AC00429,25.38,2023-10-23 16:03:09,Debit,Louisville,D000222,201.114.165.141,M024,Branch,57,Engineer,66,1,8616.05,2024-11-04 08:11:41,16,0,-32630912.0,0,0,0,3,0,Low
TX000287,AC00087,35.99,2023-01-19 16:14:12,Debit,Miami,D000270,162.207.77.170,M023,Branch,63,Retired,129,1,4489.79,2024-11-04 08:09:17,16,3,-56562905.0,0,0,0,3,0,Low
TX001021,AC00337,309.56,2023-06-05 17:29:48,Debit,Charlotte,D000591,6.204.110.7,M094,Online,58,Doctor,147,1,972.04,2024-11-04 08:09:17,17,0,-44721569.0,0,0,0,1,1,High
TX002265,AC00369,638.24,2023-03-09 18:04:32,Debit,Phoenix,D000225,29.168.185.63,M047,Branch,48,Engineer,64,1,5695.78,2024-11-04 08:11:49,18,3,-52322837.0,0,0,0,4,0,High
